hospital_id,name,street_address,city,county,state,zip_code,overall_rating,mortality_rate_heart_attack,mortality_rate_pneumonia,readmission_rate,safety_score,number_of_comparisons,clabsi_rate,year
1,Massachusetts General Hospital,55 Fruit Street,Boston,Suffolk,MA,2114,4.609934283060224,9.265461121093843,12.764244255192585,15.47706681945519,93.09934283060224,2850,0.8049539981421573,2020
2,Brigham and Women's Hospital,75 Francis Street,Boston,Suffolk,MA,2115,4.497234713976576,9.496495068800899,13.276540039116574,16.481691123841617,91.97234713976576,2420,0.7164578698052432,2020
3,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,Suffolk,MA,2215,4.412953770762013,10.309879313934326,14.245808265753778,17.37796495511602,91.12953770762014,1920,0.8877744034867507,2020
4,Boston Medical Center,801 Massachusetts Avenue,Boston,Suffolk,MA,2118,4.230460597128161,11.734698090707237,16.391678658358327,18.988876210891547,89.3046059712816,1650,1.1119375672717524,2020
5,Lahey Hospital & Medical Center,41 Mall Road,Burlington,Middlesex,MA,1805,4.295316932505533,10.372447472301461,14.129588429321382,17.42013430658964,89.95316932505533,1480,0.7493091754536522,2020
6,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,Middlesex,MA,2138,4.295317260861016,10.483982252093556,14.348656117279315,17.635203078120668,89.95317260861016,1250,0.7493093921682709,2020
7,Winchester Hospital,41 Highland Street,Winchester,Middlesex,MA,1890,4.1315842563101475,12.4371099681496,16.860605419021205,19.786199762320635,88.31584256310148,520,1.1598684137470465,2020
8,Waltham Hospital,Hope Avenue,Waltham,Middlesex,MA,2454,4.015348694583058,12.715905379330252,17.06483502712079,20.263950849786575,87.15348694583058,380,1.028260338178922,2020
9,Tufts Medical Center,800 Washington Street,Boston,Suffolk,MA,2111,4.390610512281301,9.99549461053171,13.741692454744392,16.915646094044558,90.906105122813,1580,0.6783663073687806,2020
10,New York-Presbyterian Hospital,177 Fort Washington Avenue,New York,New York,NY,10032,4.710851200871719,8.82063936679941,12.108278089501741,14.72649121176821,94.1085120087172,4200,0.7825788165927692,2020
11,Columbia University Medical Center,622 West 168th Street,New York,New York,NY,10032,4.59073164614375,8.996926333764382,12.216194436810008,14.990243046012512,92.9073164614375,2950,0.6332097218405005,2020
